Day,Temperature (°C),Rainfall (mm),Humidity (%)
5050,18.8,7.3,48
5051,3.4,48.9,20
5052,28.3,22.1,77
5053,5.7,47.8,65
5054,-0.9,8.8,29
5055,34.5,22.3,35
5056,-0.9,11.8,36
5057,8.0,27.5,57
5058,19.7,3.6,40
5059,17.4,4.6,77
5060,1.4,26.7,79
5061,-4.8,38.9,48
5062,29.8,4.6,20
5063,-2.4,47.9,20
5064,34.1,46.6,90
5065,10.7,20.4,71
5066,9.2,35.5,96
5067,11.3,48.4,90
5068,-1.3,8.0,21
5069,-4.0,31.5,50
5070,11.6,44.0,47
5071,31.7,21.4,66
5072,26.8,33.7,48
5073,3.3,24.2,38
5074,33.8,33.6,41
5075,7.2,10.0,59
5076,15.1,31.3,56
5077,18.5,3.0,44
5078,23.1,19.1,74
5079,17.8,31.5,65
5080,15.4,14.0,54
5081,16.1,9.2,100
5082,1.1,13.4,95
5083,34.5,14.1,29
5084,22.5,5.6,65
5085,-4.8,36.4,46
5086,20.6,4.8,58
5087,5.0,14.4,20
5088,23.5,39.2,88
5089,3.9,32.9,92
5090,-4.6,12.5,30
5091,33.7,44.8,99
5092,22.1,28.3,54
5093,25.4,37.2,28
5094,31.2,35.0,37
5095,23.6,7.6,63
5096,8.1,12.4,68
5097,-2.6,42.5,65
5098,-0.6,22.3,100
5099,-2.7,17.5,24
5100,18.6,24.8,31
5101,-1.1,7.3,99
5102,2.8,21.6,94
5103,31.8,45.4,52
5104,-0.0,0.7,79
5105,18.9,44.4,44
5106,23.4,30.9,93
5107,-3.1,38.8,41
5108,-2.0,15.0,86
5109,29.2,30.2,78
5110,12.0,20.6,56
5111,-1.2,47.3,54
5112,18.5,30.1,92
5113,5.3,48.5,79
5114,-0.9,13.8,30
5115,8.2,7.6,72
5116,-4.9,18.3,55
5117,19.3,43.2,59
5118,9.9,1.5,41
5119,16.6,28.9,39
5120,35.0,3.9,69
5121,-2.0,34.6,88
5122,-4.7,25.6,30
5123,2.6,28.6,78
5124,12.7,45.6,20
5125,23.7,0.8,87
5126,-3.6,33.8,60
5127,-3.0,25.0,72
5128,-3.6,1.4,44
5129,8.5,29.6,80
5130,15.0,37.6,56
5131,20.6,36.9,61
5132,-1.9,39.7,68
5133,19.0,2.0,68
5134,23.8,4.3,30
5135,13.4,34.7,20
5136,-1.3,22.4,82
5137,13.6,43.7,82
5138,28.1,4.7,69
5139,3.5,17.5,22
5140,0.2,33.1,64
5141,-2.6,23.7,92
5142,21.2,35.7,51
5143,19.3,26.4,28
5144,-0.3,47.1,39
5145,21.3,24.2,22
5146,8.7,12.4,72
5147,18.0,15.1,51
5148,-4.3,44.6,84
5149,4.8,14.7,60
5150,7.0,39.6,75
5151,13.9,31.7,92
5152,22.3,48.5,61
5153,21.7,36.6,38
5154,0.6,0.8,57
5155,-4.0,47.9,42
5156,-4.3,42.0,64
5157,-1.7,45.5,41
5158,6.4,21.8,33
5159,9.7,5.2,37
5160,28.6,41.9,64
5161,18.4,43.4,70
5162,17.3,40.2,48
5163,-4.5,27.6,42
5164,15.7,12.3,64
5165,18.9,45.5,86
5166,1.2,28.2,77
5167,2.9,23.2,85
5168,15.7,0.5,57
5169,0.7,28.3,29
5170,18.8,14.4,27
5171,19.4,13.9,58
5172,21.2,45.3,100
5173,30.4,32.9,93
5174,-3.5,13.9,58
5175,18.3,17.4,61
5176,15.3,34.4,30
5177,0.3,21.8,44
5178,0.3,32.6,97
5179,7.9,45.6,35
5180,18.6,5.9,54
5181,17.5,47.4,40
5182,8.4,35.2,86
5183,20.5,43.0,54
5184,6.9,25.5,40
5185,12.3,18.7,54
5186,19.3,29.3,31
5187,32.0,28.1,62
5188,32.8,16.4,46
5189,9.0,43.2,21
5190,3.5,14.9,72
5191,29.0,11.9,51
5192,7.6,9.2,26
5193,11.7,49.9,33
5194,23.2,27.7,81
5195,2.2,8.6,76
5196,15.5,24.5,23
5197,-4.3,5.3,76
5198,15.8,11.8,40
5199,14.9,1.5,21
5200,7.7,17.2,33
5201,25.0,6.0,34
5202,26.9,18.3,25
5203,25.6,26.0,64
5204,4.7,43.1,49
5205,11.9,10.1,72
5206,24.4,33.8,20
5207,16.4,18.9,45
5208,30.9,28.8,48
5209,32.0,48.6,87
5210,14.2,45.1,43
5211,28.7,27.6,72
5212,6.0,47.2,50
5213,15.3,34.7,38
5214,-1.2,12.2,57
5215,-4.7,4.6,73
5216,25.6,21.1,39
5217,3.5,23.6,54
5218,24.1,20.3,47
5219,28.0,20.7,49
5220,28.7,3.5,88
5221,15.2,19.4,91
5222,18.4,2.4,41
5223,14.8,38.9,53
5224,-2.4,19.9,48
5225,-3.8,25.1,91
5226,13.2,28.5,67
5227,11.0,4.9,43
5228,17.8,9.7,51
5229,20.7,14.2,87
5230,35.0,44.0,95
5231,19.8,22.8,23
5232,33.9,23.3,94
5233,29.6,25.6,29
5234,26.2,4.6,50
5235,2.9,45.4,93
5236,14.8,24.3,71
5237,31.9,41.1,49
5238,19.8,49.6,34
5239,10.7,32.3,88
5240,13.3,28.3,25
5241,15.5,43.8,33
5242,27.6,1.8,59
5243,-0.5,39.4,61
5244,8.1,23.8,83
5245,16.7,42.6,75
5246,20.1,8.1,54
5247,-2.7,39.1,73
5248,27.2,30.1,81
5249,34.2,45.2,23
5250,12.7,20.6,43
5251,29.9,20.7,61
5252,14.3,39.9,36
5253,26.4,16.9,34
5254,-0.5,14.4,69
5255,19.1,29.9,25
5256,-1.4,29.4,37
5257,29.7,7.9,28
5258,11.3,49.2,65
5259,11.3,36.9,59
5260,0.6,30.4,30
5261,28.8,32.9,96
5262,30.8,47.1,100
5263,28.7,8.8,61
5264,21.7,43.3,69
5265,9.8,34.5,87
5266,5.7,16.6,24
5267,29.4,47.6,27
5268,10.6,29.9,78
5269,18.0,30.4,68
5270,15.9,17.1,54
5271,30.8,43.6,99
5272,18.7,28.2,89
5273,19.1,26.5,77
5274,11.9,3.9,35
5275,28.9,43.3,91
5276,-1.6,8.0,96
5277,10.9,30.3,42
5278,8.1,31.5,97
5279,32.2,2.9,79
5280,31.6,41.3,92
5281,7.8,3.1,37
5282,23.9,11.4,83
5283,17.6,18.3,22
5284,10.3,12.6,94
5285,18.5,19.1,82
5286,-0.7,30.7,67
5287,28.2,10.0,55
5288,-1.3,37.8,93
5289,-2.3,34.2,53
5290,25.2,31.1,91
5291,10.5,35.4,86
5292,-3.0,45.5,93
5293,24.3,49.0,94
5294,34.6,28.0,79
5295,18.4,5.3,59
5296,15.4,13.5,85
5297,11.0,46.2,28
5298,19.8,26.9,97
5299,23.3,7.3,68
5300,0.9,1.3,37
5301,33.3,5.1,78
5302,33.2,22.4,95
5303,14.6,26.8,36
5304,7.8,46.0,83
5305,24.0,14.1,60
5306,23.3,13.3,74
5307,16.2,0.4,32
5308,7.6,24.3,81
5309,31.5,4.9,42
5310,19.4,7.0,66
5311,2.4,34.9,40
5312,5.8,11.8,73
5313,12.0,13.8,78
5314,6.5,35.3,80
5315,16.8,19.5,60
5316,1.1,29.8,69
5317,16.8,33.2,67
5318,3.0,23.1,75
5319,17.5,1.2,30
5320,8.3,31.3,98
5321,17.7,19.3,65
5322,16.4,46.8,85
5323,2.9,32.4,35
5324,11.8,32.4,49
5325,33.2,28.0,67
5326,1.7,44.6,46
5327,3.2,47.0,79
5328,13.3,22.3,38
5329,25.2,43.1,88
5330,-2.2,1.8,80
5331,8.2,38.3,91
5332,28.1,24.2,25
5333,9.1,30.8,25
5334,6.9,11.6,70
5335,17.9,31.2,49
5336,30.1,41.8,66
5337,8.6,8.3,39
5338,12.4,6.9,96
5339,13.4,9.6,46
5340,-4.8,10.1,90
5341,0.7,12.0,91
5342,17.4,12.8,66
5343,14.2,40.5,76
5344,19.0,39.6,64
5345,17.4,27.1,39
5346,-3.5,6.1,63
5347,22.1,21.6,87
5348,31.8,13.3,89
5349,-4.5,37.5,98
5350,1.8,18.0,80
5351,21.5,28.1,79
5352,15.4,49.7,97
5353,-1.0,48.2,97
5354,16.4,37.0,46
5355,-1.9,40.4,78
5356,15.6,36.7,21
5357,4.3,29.4,42
5358,21.4,41.4,22
5359,34.4,40.2,21
5360,-4.7,9.5,53
5361,28.9,11.3,28
5362,14.3,1.9,100
5363,2.1,45.2,67
5364,20.9,16.9,27
5365,1.8,6.2,32
5366,24.5,17.3,26
5367,22.8,15.3,60
5368,21.9,16.1,77
5369,3.1,20.5,52
5370,19.4,30.6,39
5371,0.1,19.9,27
5372,13.1,4.2,72
5373,16.5,15.3,73
5374,28.7,16.8,29
5375,2.8,8.3,90
5376,30.9,19.8,73
5377,24.9,22.0,95
5378,21.0,31.2,92
5379,24.4,42.6,42
5380,22.4,26.5,78
5381,27.2,35.1,20
5382,20.0,18.3,96
5383,4.5,42.9,64
5384,28.0,41.7,60
5385,26.3,11.8,48
5386,17.0,16.0,48
5387,-2.0,4.4,95
5388,18.5,15.4,39
5389,5.6,33.4,22
5390,27.5,49.7,21
5391,22.8,30.7,30
5392,10.7,50.0,77
5393,-0.8,6.9,90
5394,21.5,5.0,89
5395,-1.5,10.6,62
5396,6.4,35.7,49
5397,29.6,24.5,28
5398,-3.8,24.1,23
5399,23.0,35.5,20
5400,3.8,34.6,40
5401,10.0,28.6,59
5402,2.9,23.4,89
5403,14.6,34.0,28
5404,11.0,24.2,49
5405,7.4,48.9,86
5406,11.3,49.9,48
5407,-3.6,9.4,63
5408,3.9,42.7,85
5409,5.8,28.9,92
5410,16.2,44.0,93
5411,29.2,33.7,92
5412,32.1,12.8,31
5413,6.3,48.7,55
5414,31.9,45.3,77
5415,19.7,9.9,78
5416,7.0,20.0,70
5417,23.9,6.8,92
5418,26.4,16.8,77
5419,25.7,8.0,79
5420,4.0,37.0,57
5421,6.7,21.4,84
5422,15.5,7.4,59
5423,-4.8,13.8,87
5424,24.7,13.3,99
5425,6.2,43.1,99
5426,24.5,15.0,75
5427,24.8,37.4,87
5428,17.7,18.6,91
5429,15.1,10.7,56
5430,6.8,49.5,52
5431,21.0,6.3,66
5432,30.4,31.8,22
5433,32.2,16.6,80
5434,8.6,37.3,56
5435,12.7,13.6,97
5436,27.3,36.9,44
5437,18.8,23.7,100
5438,21.7,38.1,79
5439,16.0,18.2,86
5440,1.4,11.9,63
5441,33.5,43.6,95
5442,34.8,33.1,69
5443,-2.3,38.4,48
5444,-3.8,17.1,40
5445,25.3,12.0,82
5446,-0.8,13.1,62
5447,14.2,0.8,29
5448,20.2,24.2,78
5449,10.1,41.0,37
5450,26.3,22.4,95
5451,22.0,24.2,79
5452,3.0,40.0,46
5453,-2.9,44.9,73
5454,16.9,43.0,100
5455,31.8,22.1,83
5456,23.7,29.9,24
5457,8.3,9.3,97
5458,15.5,36.2,64
5459,8.6,5.1,75
5460,9.3,23.6,36
5461,1.7,16.3,25
5462,-4.8,30.9,22
5463,8.2,10.0,49
5464,4.5,12.7,39
5465,4.0,9.1,35
5466,30.7,36.6,32
5467,8.3,30.3,29
5468,19.3,26.3,25
5469,34.6,39.4,71
5470,9.5,41.2,42
5471,-4.4,41.1,66
5472,15.8,7.3,23
5473,-4.2,14.2,21
5474,1.5,7.3,53
5475,22.2,33.5,48
5476,18.4,40.3,81
5477,12.3,29.9,39
5478,27.7,31.8,96
5479,1.1,17.4,63
5480,1.0,18.2,51
5481,4.3,31.4,76
5482,19.6,31.5,86
5483,34.0,8.1,52
5484,33.2,23.3,27
5485,13.4,27.4,44
5486,0.5,48.7,95
5487,23.4,41.7,49
5488,27.8,38.3,41
5489,24.9,9.0,73
5490,20.2,20.7,93
5491,9.6,12.4,31
5492,2.7,38.4,95
5493,25.0,28.1,93
5494,32.0,45.5,86
5495,28.9,40.3,37
5496,32.8,31.2,62
5497,-0.2,36.0,46
5498,10.2,46.6,71
5499,31.7,24.9,100
5500,5.0,36.5,21
5501,3.6,21.2,74
5502,34.2,45.4,86
5503,27.2,2.0,48
5504,5.7,36.9,42
5505,8.7,38.1,55
5506,22.0,20.6,24
5507,16.3,16.0,52
5508,12.0,10.1,82
5509,19.0,27.0,37
5510,31.5,1.8,21
5511,5.0,37.2,67
5512,34.5,26.7,90
5513,32.1,10.1,85
5514,14.8,34.0,74
5515,17.4,23.1,47
5516,10.3,6.0,67
5517,11.0,29.6,58
5518,33.5,21.8,87
5519,6.2,21.0,72
5520,3.0,34.1,40
5521,3.2,5.6,48
5522,-1.4,31.7,67
5523,22.7,18.2,64
5524,23.0,3.5,85
5525,8.4,26.3,75
5526,6.0,7.2,93
5527,20.3,18.2,50
5528,19.3,0.6,76
5529,24.4,6.4,99
5530,32.8,35.5,98
5531,18.9,18.2,72
5532,3.9,5.3,86
5533,22.9,1.2,25
5534,6.8,24.6,58
5535,11.9,20.6,81
5536,24.1,6.0,49
5537,12.1,7.1,30
5538,27.2,1.9,95
5539,1.6,32.5,75
5540,24.5,2.3,27
5541,3.5,41.4,20
5542,27.2,19.6,26
5543,30.0,27.0,74
5544,9.3,9.3,70
5545,16.9,31.2,79
5546,29.4,11.4,87
5547,0.2,5.3,74
5548,27.9,31.7,61
5549,20.2,7.0,39
5550,16.5,36.2,65
5551,14.6,21.8,58
5552,3.4,42.2,35
5553,7.4,20.9,87
5554,33.7,10.5,92
5555,27.9,40.9,64
5556,6.0,27.1,42
5557,12.6,2.2,36
5558,28.7,38.6,59
5559,26.4,41.2,39
5560,25.2,16.5,71
5561,6.8,23.3,66
5562,11.0,21.1,39
5563,6.1,1.1,73
5564,24.3,22.1,37
5565,-0.5,11.4,76
5566,4.2,12.4,97
5567,8.1,3.8,78
5568,3.4,3.3,43
5569,4.8,42.4,35
5570,12.0,15.6,67
5571,26.2,28.9,24
5572,16.8,35.5,91
5573,13.4,12.5,67
5574,19.4,49.9,56
5575,3.7,31.5,68
5576,26.3,34.5,98
5577,30.1,20.5,94
5578,34.1,7.1,61
5579,0.5,47.8,56
5580,-3.2,30.8,97
5581,6.4,36.4,77
5582,34.0,33.0,83
5583,0.6,26.5,89
5584,33.3,39.5,34
5585,5.2,19.7,56
5586,8.4,7.4,80
5587,24.0,36.3,24
5588,-1.2,20.0,21
5589,2.8,2.6,88
5590,10.0,6.7,82
5591,19.6,18.0,81
5592,-0.4,2.4,22
5593,19.4,22.9,35
5594,27.9,44.2,97
5595,27.0,48.4,45
5596,10.2,22.3,29
5597,23.2,20.7,46
5598,1.6,3.3,64
5599,18.6,34.7,84
5600,6.9,28.9,33
5601,27.8,18.9,79
5602,19.8,0.7,41
5603,2.8,8.6,75
5604,4.0,30.5,57
5605,7.7,45.3,69
5606,-2.8,39.8,97
5607,21.9,10.6,56
5608,12.6,35.7,55
5609,-3.3,13.0,91
5610,32.7,43.1,55
5611,29.1,37.3,36
5612,27.2,4.7,84
5613,17.2,21.5,57
5614,22.1,34.3,39
5615,-1.2,33.5,100
5616,34.1,2.1,45
5617,34.4,3.1,21
5618,6.1,20.8,23
5619,7.0,12.9,52
5620,5.4,15.3,50
5621,7.7,43.9,25
5622,26.1,35.0,53
5623,9.1,18.3,29
5624,14.4,29.6,97
5625,-3.2,39.7,38
5626,25.7,46.3,49
5627,20.2,36.6,38
5628,14.6,47.7,41
5629,18.4,0.6,39
5630,7.6,2.5,95
5631,32.7,18.3,95
5632,8.4,37.0,46
5633,15.2,19.0,39
5634,32.9,33.0,85
5635,5.7,14.5,62
5636,17.5,23.3,52
5637,1.4,41.6,74
5638,-0.0,48.1,95
5639,4.8,34.1,45
5640,-3.3,45.2,82
5641,32.1,44.5,52
5642,16.3,24.2,65
5643,2.5,44.9,98
5644,-4.6,17.5,61
5645,24.9,42.9,89
5646,9.3,12.0,64
5647,24.1,33.8,92
5648,26.0,47.2,89
5649,23.8,8.9,38
5650,33.3,8.7,62
5651,-2.0,21.0,81
5652,25.3,13.2,36
5653,11.5,32.6,63
5654,33.1,47.9,54
5655,-4.1,23.6,33
5656,4.3,33.5,71
5657,27.9,24.6,92
5658,28.0,18.6,58
5659,2.4,44.6,62
5660,23.8,28.7,69
5661,18.6,11.5,80
5662,34.6,31.9,31
5663,1.0,35.9,34
5664,20.7,29.4,90
5665,13.1,38.8,52
5666,33.4,40.6,35
5667,24.9,39.8,63
5668,11.6,42.6,87
5669,5.3,47.5,95
5670,23.5,44.4,74
5671,5.0,31.3,80
5672,-2.3,45.7,48
5673,10.5,11.2,59
5674,24.7,10.4,70
5675,2.8,42.3,61
5676,29.5,18.1,92
5677,-4.6,18.1,63
5678,16.0,16.6,38
5679,29.9,20.1,72
5680,3.1,44.6,80
5681,24.5,46.4,84
5682,25.9,20.1,68
5683,9.5,45.4,44
5684,7.6,17.7,20
5685,34.3,45.6,51
5686,17.6,4.4,50
5687,8.6,45.0,84
5688,-2.8,0.0,98
5689,17.8,17.3,30
5690,24.1,6.6,44
5691,6.5,7.1,78
5692,-2.8,39.0,92
5693,20.8,40.1,27
5694,20.9,33.8,59
5695,1.9,33.9,60
5696,5.9,39.4,39
5697,22.0,38.3,67
5698,0.8,24.4,100
5699,12.7,13.4,93
5700,16.3,9.9,100
5701,17.7,35.4,98
5702,5.0,9.0,88
5703,19.1,28.3,96
5704,27.3,13.9,23
5705,14.0,18.5,64
5706,22.4,45.3,47
5707,27.4,44.8,51
5708,26.3,48.0,67
5709,1.5,15.7,38
5710,31.2,3.3,52
5711,6.6,46.3,56
5712,11.3,16.0,45
5713,17.1,9.5,25
5714,9.1,26.2,47
5715,2.9,41.9,83
5716,31.1,5.2,51
5717,26.3,18.0,34
5718,5.6,29.2,92
5719,15.7,46.9,69
5720,32.9,12.7,40
5721,15.0,29.6,57
5722,-3.6,9.6,50
5723,26.6,40.7,100
5724,21.1,12.6,40
5725,25.7,24.7,91
5726,33.5,8.2,49
5727,2.3,17.4,69
5728,14.0,8.6,83
5729,16.1,16.7,69
5730,5.5,7.2,21
5731,31.1,12.8,95
5732,33.4,3.4,32
5733,-0.5,39.6,82
5734,-3.8,20.5,33
5735,20.9,31.8,76
5736,25.1,9.9,49
5737,23.8,2.0,34
5738,20.9,47.4,68
5739,12.1,14.2,72
5740,9.4,49.1,74
5741,6.0,34.3,27
5742,13.8,22.0,73
5743,17.2,18.3,26
5744,1.1,5.7,49
5745,-2.9,38.8,55
5746,-0.4,3.3,47
5747,-0.5,44.2,26
5748,12.8,4.4,40
5749,17.8,18.6,77
5750,27.0,45.9,46
5751,4.6,48.4,92
5752,26.2,2.7,94
5753,-0.6,25.0,42
5754,0.9,3.0,28
5755,20.0,5.7,53
5756,32.4,30.2,31
5757,25.2,41.9,91
5758,12.0,39.0,95
5759,14.1,47.8,99
5760,25.7,32.8,86
5761,17.2,6.2,74
5762,5.6,7.9,63
5763,15.7,34.3,68
5764,6.0,41.5,95
5765,-1.6,44.1,39
5766,-2.2,17.5,59
5767,-2.3,27.9,32
5768,10.1,20.4,24
5769,1.1,11.8,91
5770,1.4,13.3,50
5771,4.7,8.5,37
5772,17.1,36.1,59
5773,18.5,44.9,60
5774,22.8,24.4,22
5775,4.3,33.7,98
5776,11.2,8.5,27
5777,26.2,14.8,99
5778,7.0,39.8,56
5779,9.1,36.6,43
5780,8.3,5.2,65
5781,33.8,16.6,80
5782,-1.3,21.2,53
5783,4.6,9.0,61
5784,12.8,43.5,20
5785,30.9,10.7,87
5786,-2.7,43.5,85
5787,27.2,14.0,44
5788,1.1,43.2,77
5789,21.5,12.7,83
5790,27.9,16.4,41
5791,1.4,0.0,46
5792,34.5,21.5,85
5793,8.7,33.5,95
5794,1.0,32.9,61
5795,32.2,15.7,44
5796,18.0,34.2,85
5797,20.0,41.6,88
5798,7.3,23.3,38
5799,32.4,20.4,82
5800,29.0,9.8,83
5801,23.9,8.9,82
5802,24.4,7.6,85
5803,1.4,24.3,69
5804,14.5,4.3,63
5805,10.0,18.7,48
5806,30.0,21.3,38
5807,9.0,20.9,100
5808,-3.8,9.1,38
5809,34.9,29.3,78
5810,-4.9,22.7,38
5811,15.0,1.6,80
5812,17.1,35.9,25
5813,9.9,9.2,42
5814,24.7,46.5,42
5815,12.6,25.3,69
5816,19.6,40.0,27
5817,18.3,28.7,53
5818,6.3,47.6,28
5819,-3.7,10.5,40
5820,27.2,8.0,64
5821,19.3,3.8,75
5822,10.3,37.4,37
5823,7.7,17.0,90
5824,9.4,20.4,51
5825,2.8,35.1,30
5826,26.8,31.8,48
5827,7.2,16.0,58
5828,26.6,39.7,73
5829,5.5,39.7,82
5830,33.9,28.2,71
5831,31.7,11.0,51
5832,9.8,7.7,40
5833,26.9,20.3,90
5834,7.2,31.9,83
5835,11.9,20.9,34
5836,9.3,37.5,59
5837,2.6,32.3,67
5838,18.7,35.2,64
5839,26.9,28.2,62
5840,4.7,21.5,67
5841,10.5,7.7,81
5842,32.3,47.1,53
5843,-3.2,18.5,32
5844,20.9,41.5,99
5845,25.2,36.7,48
5846,1.5,13.5,59
5847,16.7,47.6,96
5848,15.1,18.9,44
5849,2.3,45.3,44
5850,24.5,26.1,45
5851,9.8,3.7,72
5852,7.8,2.2,59
5853,25.9,29.4,24
5854,4.3,25.8,69
5855,16.3,0.6,49
5856,13.2,15.8,47
5857,19.4,40.4,22
5858,9.2,8.1,32
5859,23.0,4.9,89
5860,6.8,13.1,81
5861,18.8,34.6,57
5862,-0.6,39.6,72
5863,28.6,39.5,100
5864,4.8,15.1,38
5865,28.7,46.1,22
5866,19.5,41.5,34
5867,2.1,2.4,39
5868,34.8,12.9,65
5869,-0.2,23.6,33
5870,13.5,42.0,38
5871,-1.7,37.7,85
5872,1.5,23.8,40
5873,34.2,0.5,71
5874,-1.6,5.0,54
5875,33.0,26.9,34
5876,30.9,1.1,21
5877,30.5,24.7,75
5878,22.8,36.7,66
5879,9.9,12.9,64
5880,30.8,36.5,80
5881,18.4,4.1,32
5882,-1.4,2.0,65
5883,11.3,41.7,20
5884,31.8,46.9,73
5885,16.8,48.9,95
5886,12.4,2.0,48
5887,1.3,25.1,41
5888,18.5,24.5,35
5889,22.9,48.4,45
5890,33.0,38.0,97
5891,12.7,36.3,35
5892,8.4,21.6,23
5893,28.6,49.1,76
5894,17.0,13.7,71
5895,33.1,18.3,74
5896,30.1,32.6,65
5897,7.0,6.6,20
5898,14.4,47.0,23
5899,20.2,17.0,65
5900,3.7,31.1,64
5901,1.8,34.4,59
5902,7.3,10.9,25
5903,31.7,37.3,48
5904,-0.5,48.3,76
5905,-0.5,11.1,82
5906,6.2,12.1,58
5907,1.4,37.5,68
5908,10.8,13.8,82
5909,13.7,8.8,23
5910,0.3,18.8,80
5911,12.1,41.7,100
5912,-3.7,41.2,41
5913,31.9,50.0,79
5914,2.3,41.3,96
5915,18.7,30.7,62
5916,9.3,23.8,27
5917,1.6,31.2,43
5918,23.3,40.1,37
5919,14.4,4.3,69
5920,0.1,3.0,87
5921,-0.1,29.4,47
5922,3.5,9.7,56
5923,33.2,42.7,96
5924,28.7,45.3,97
5925,3.5,42.1,86
5926,7.3,20.7,29
5927,34.4,35.2,30
5928,22.8,12.0,93
5929,-1.0,5.6,45
5930,26.2,10.7,67
5931,32.4,29.5,91
5932,25.4,18.4,61
5933,8.7,45.6,91
5934,22.9,13.1,98
5935,29.0,16.2,54
5936,14.9,18.2,50
5937,14.3,16.0,40
5938,24.4,4.7,44
5939,28.9,18.0,67
5940,-4.2,11.1,31
5941,26.7,46.6,67
5942,-3.3,19.9,30
5943,7.2,2.8,93
5944,34.1,1.2,37
5945,-3.8,38.7,62
5946,-2.6,12.6,68
5947,21.3,1.0,56
5948,-4.4,8.1,92
5949,18.6,46.9,78
5950,14.2,2.2,39
5951,8.5,19.1,46
5952,17.5,43.3,48
5953,29.5,34.3,33
5954,-4.3,6.0,85
5955,34.6,34.4,61
5956,25.5,33.2,34
5957,24.9,2.0,91
5958,25.6,18.5,70
5959,32.3,22.3,37
5960,28.3,16.0,32
5961,-3.4,30.6,24
5962,17.4,10.4,55
5963,4.7,28.0,80
5964,29.4,25.3,39
5965,27.7,26.8,96
5966,28.2,49.6,60
5967,23.9,6.4,43
5968,10.9,6.4,77
5969,-4.6,0.9,35
5970,29.1,12.7,36
5971,9.0,40.2,79
5972,4.2,41.3,22
5973,-1.4,6.9,28
5974,21.5,19.1,98
5975,28.1,35.6,27
5976,-3.6,12.9,48
5977,14.8,35.5,60
5978,18.6,39.3,20
5979,27.2,6.3,89
5980,18.9,24.1,80
5981,24.9,17.6,24
5982,8.7,16.9,56
5983,-1.5,10.6,75
5984,13.8,11.4,22
5985,22.5,1.7,43
5986,24.2,29.7,72
5987,27.1,20.0,41
5988,-2.6,0.4,57
5989,20.3,29.8,67
5990,13.3,4.6,48
5991,17.5,8.9,67
5992,1.9,25.0,24
5993,32.1,8.5,26
5994,26.3,25.7,98
5995,9.3,0.7,48
5996,27.8,35.0,67
5997,10.6,36.3,33
5998,11.2,14.3,22
5999,17.1,1.8,88
6000,7.6,48.0,90
6001,-0.3,24.4,58
6002,-4.3,43.7,54
6003,14.0,21.3,81
6004,23.5,2.9,72
6005,20.8,5.8,33
6006,-2.1,25.3,33
6007,14.1,44.8,24
6008,34.7,15.4,67
6009,32.2,0.9,60
6010,16.0,3.6,49
6011,2.2,23.0,43
6012,7.2,43.0,95
6013,24.0,23.4,31
6014,25.7,30.1,25
6015,9.7,49.9,96
6016,3.6,39.1,41
6017,-0.1,1.5,55
6018,4.5,21.5,66
6019,20.4,47.3,43
6020,28.8,44.9,35
6021,10.7,24.9,64
6022,16.0,19.5,79
6023,3.7,14.4,56
6024,-1.0,47.1,23
6025,0.7,15.8,73
6026,-3.6,18.4,78
6027,2.5,17.5,87
6028,20.5,49.5,45
6029,25.1,15.3,56
6030,26.1,16.1,46
6031,-4.2,6.5,38
6032,8.5,21.8,79
6033,-0.2,7.4,60
6034,2.8,26.6,96
6035,33.8,29.9,60
6036,9.5,32.8,32
6037,27.0,18.6,96
6038,1.1,40.5,79
6039,2.2,31.8,46
6040,9.0,40.1,29
6041,6.5,14.2,47
6042,10.5,25.9,99
6043,-0.9,20.0,86
6044,1.0,19.4,41
6045,33.8,33.7,36
6046,33.5,2.2,26
6047,20.3,32.9,65
6048,18.7,26.5,35
6049,20.9,6.6,54
6050,-4.6,10.6,22
6051,19.4,42.7,25
6052,23.1,11.5,21
6053,28.3,14.2,77
6054,30.8,8.4,37
6055,13.8,26.2,24
6056,4.0,20.9,97
6057,2.1,47.1,21
6058,-1.7,2.9,22
6059,12.0,22.5,61
6060,11.7,34.6,68
6061,-1.4,2.9,45
6062,33.2,41.0,98
6063,31.2,15.4,26
6064,6.5,36.9,96
6065,33.1,13.7,57
6066,-0.6,26.6,100
6067,9.6,21.8,20
6068,34.5,34.2,43
6069,27.7,22.5,65
6070,5.3,20.6,66
6071,31.7,26.1,38
6072,24.6,35.5,92
6073,13.5,28.2,31
6074,16.8,19.0,63
6075,15.9,40.9,83
6076,1.3,38.4,84
6077,18.4,10.2,78
6078,22.4,12.2,97
6079,-0.9,13.4,99
6080,4.3,41.1,70
6081,20.6,10.9,21
6082,7.4,5.1,37
6083,26.8,27.3,98
6084,21.8,43.4,64
6085,22.6,37.1,82
6086,2.1,5.2,55
6087,4.5,23.4,56
6088,5.6,7.4,67
6089,-4.8,25.4,80
6090,9.9,32.3,35
6091,1.8,28.3,67
6092,-1.7,16.8,87
6093,26.4,15.4,75
6094,-2.7,24.3,80
6095,30.8,1.4,20
6096,0.7,34.0,33
6097,29.5,48.8,99
6098,4.5,0.2,66
6099,-2.0,1.8,74
6100,-4.6,2.2,47
6101,34.4,10.2,83
6102,-1.6,13.7,44
6103,22.9,28.1,41
6104,9.6,10.1,50
6105,27.9,45.6,33
6106,11.9,44.9,21
6107,12.3,18.2,67
6108,18.2,10.3,40
6109,29.2,18.9,20
6110,1.9,42.5,29
6111,22.8,5.8,25
6112,25.0,43.9,86
